embedder,classifier,train_language,test_language,accuracy,precision,recall,f1
FastTextEmbedder,LogisticRegressionClassifier,arabic,german,0.29310344827586204,0.30087885740802806,0.2931034482758621,0.2679008967220252
FastTextEmbedder,LogisticRegressionClassifier,arabic,arabic,0.6114942528735632,0.6119549471833853,0.6114942528735633,0.6099802575917489
FastTextEmbedder,LogisticRegressionClassifier,arabic,portuguese,0.3160919540229885,0.2388672135520875,0.3160919540229885,0.19510385051563642
FastTextEmbedder,LogisticRegressionClassifier,portuguese,english,0.31724137931034485,0.19651661688711894,0.3172413793103448,0.2173658635110731
FastTextEmbedder,LogisticRegressionClassifier,portuguese,german,0.3333333333333333,0.2742670401493931,0.3333333333333333,0.18756765866034442
FastTextEmbedder,LogisticRegressionClassifier,portuguese,arabic,0.3413793103448276,0.33441018535051503,0.34137931034482755,0.27588566948554855
FastTextEmbedder,LogisticRegressionClassifier,portuguese,portuguese,0.5942528735632184,0.5978450257350972,0.5942528735632183,0.5948326630776778
FastTextEmbedder,MLPClassifier,english,english,0.6298850574712643,0.6442670829643131,0.6298850574712643,0.611238588975906
FastTextEmbedder,MLPClassifier,english,german,0.3471264367816092,0.34475864038846044,0.3471264367816092,0.34093704607119774
FastTextEmbedder,MLPClassifier,english,arabic,0.3114942528735632,0.3076091151220685,0.3114942528735632,0.2719444864514566
FastTextEmbedder,MLPClassifier,english,portuguese,0.3114942528735632,0.3327659647852105,0.3114942528735632,0.20960810787419293
FastTextEmbedder,MLPClassifier,german,english,0.364367816091954,0.40796615581098344,0.36436781609195407,0.32119994044079053
FastTextEmbedder,MLPClassifier,german,german,0.639080459770115,0.6413544433941447,0.6390804597701149,0.6394513387705457
FastTextEmbedder,MLPClassifier,german,arabic,0.25862068965517243,0.23636191986707453,0.25862068965517243,0.21173035500598325
FastTextEmbedder,MLPClassifier,german,portuguese,0.34597701149425286,0.3502414814155705,0.34597701149425286,0.3245726514740637
FastTextEmbedder,MLPClassifier,arabic,english,0.2850574712643678,0.2144619529516146,0.2850574712643678,0.23365483680071572
FastTextEmbedder,MLPClassifier,arabic,german,0.3057471264367816,0.2845396791260306,0.30574712643678165,0.2643321984655917
FastTextEmbedder,MLPClassifier,arabic,arabic,0.6344827586206897,0.6314998074086322,0.6344827586206897,0.632340166760639
FastTextEmbedder,MLPClassifier,arabic,portuguese,0.30919540229885056,0.30470873143950067,0.3091954022988506,0.2843188366739307
FastTextEmbedder,MLPClassifier,portuguese,english,0.32413793103448274,0.2918263090676884,0.3241379310344828,0.2613361508766747
FastTextEmbedder,MLPClassifier,portuguese,german,0.32873563218390806,0.3216133751306165,0.32873563218390806,0.28799112072896865
FastTextEmbedder,MLPClassifier,portuguese,arabic,0.3701149425287356,0.4106412101713092,0.3701149425287356,0.35922255375580187
FastTextEmbedder,MLPClassifier,portuguese,portuguese,0.6195402298850575,0.6241992618080344,0.6195402298850574,0.6172247092203081
FastTextEmbedder,XLMRClassifierHead,english,english,0.6068965517241379,0.6407508925096864,0.6068965517241379,0.5900919022053515
FastTextEmbedder,XLMRClassifierHead,english,german,0.3,0.3129313086138498,0.3,0.2911330818432026
FastTextEmbedder,XLMRClassifierHead,english,arabic,0.3103448275862069,0.31130383224005165,0.3103448275862069,0.25884038134902937
FastTextEmbedder,XLMRClassifierHead,english,portuguese,0.3103448275862069,0.29277493054477055,0.3103448275862069,0.23905274902030219
FastTextEmbedder,XLMRClassifierHead,german,english,0.37126436781609196,0.3600498128934017,0.3712643678160919,0.3587290015927637
FastTextEmbedder,XLMRClassifierHead,german,german,0.6149425287356322,0.6148984651753461,0.6149425287356323,0.6143416369949687
FastTextEmbedder,XLMRClassifierHead,german,arabic,0.26091954022988506,0.20947779316909274,0.26091954022988506,0.1883584535740126
FastTextEmbedder,XLMRClassifierHead,german,portuguese,0.335632183908046,0.3505941770647653,0.335632183908046,0.237850574419307
FastTextEmbedder,XLMRClassifierHead,arabic,english,0.3080459770114943,0.2296072361916249,0.3080459770114943,0.23656025071551864
FastTextEmbedder,XLMRClassifierHead,arabic,german,0.296551724137931,0.296792328042328,0.296551724137931,0.26229091815818883
FastTextEmbedder,XLMRClassifierHead,arabic,arabic,0.6344827586206897,0.6363648019747106,0.6344827586206897,0.6344649733800493
FastTextEmbedder,XLMRClassifierHead,arabic,portuguese,0.28620689655172415,0.260648402537862,0.28620689655172415,0.23921642091034237
FastTextEmbedder,XLMRClassifierHead,portuguese,english,0.31494252873563217,0.20993797625376573,0.3149425287356322,0.25185524507558404
FastTextEmbedder,XLMRClassifierHead,portuguese,german,0.34367816091954023,0.3303067993366501,0.34367816091954023,0.27240990990990993
FastTextEmbedder,XLMRClassifierHead,portuguese,arabic,0.34942528735632183,0.3575630814405457,0.3494252873563218,0.3517222369232345
FastTextEmbedder,XLMRClassifierHead,portuguese,portuguese,0.6045977011494252,0.6123010752688172,0.6045977011494253,0.6067901234567902
